Genome	SSU	Copy ratio	Organism	Species	Strain	
GCA_000007325	SSU_3:SSU_4:SSU_1:SSU_2	2:1:1:1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum	ATCC 25586
GCA_000007345	SSU_2:SSU_1	2:1	Methanosarcina acetivorans C2A	Methanosarcina acetivorans	C2A
GCA_000007365	SSU_1	1	Buchnera aphidicola str. Sg (Schizaphis graminum)	Buchnera aphidicola	Sg
GCA_000007385	SSU_1	2	Xanthomonas oryzae pv. oryzae KACC 10331	Xanthomonas oryzae	KACC10331
GCA_000007405	SSU_3:SSU_5:SSU_4:SSU_1:SSU_2	3:1:1:1:1	Shigella flexneri 2a str. 2457T	Shigella flexneri	2457T
GCA_000007425	SSU_2:SSU_3:SSU_1	4:1:1	Streptococcus pyogenes MGAS315	Streptococcus pyogenes	MGAS315
GCA_000007445	SSU_5:SSU_6:SSU_7:SSU_3:SSU_4:SSU_1:SSU_2	1:1:1:1:1:1:1	Escherichia coli CFT073	Escherichia coli	CFT073
GCA_000007465	SSU_1:SSU_2	3:2	Streptococcus mutans UA159	Streptococcus mutans	UA159
GCA_000007485	SSU_1	1	Tropheryma whipplei str. Twist	Tropheryma whipplei	Twist
GCA_000007505	SSU_1	3	Brucella suis 1330	Brucella suis	1330
GCA_000007525	SSU_2:SSU_1	3:1	Bifidobacterium longum NCC2705	Bifidobacterium longum	NCC2705
GCA_000007545	SSU_1:SSU_2:SSU_3	3:3:1	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	Salmonella enterica	Ty2
GCA_000007565	SSU_3:SSU_4:SSU_2:SSU_1	2:2:2:1	Pseudomonas putida KT2440	Pseudomonas putida	KT2440
GCA_000007585	SSU_1	4	Porphyromonas gingivalis W83	Porphyromonas gingivalis	W83
GCA_000007605	SSU_1	1	Chlamydia caviae GPIC	Chlamydia caviae	GPIC
GCA_000007625	SSU_2:SSU_3:SSU_4:SSU_1	3:1:1:1	Clostridium tetani E88	Clostridium tetani	Massachusetts substr. E88
GCA_000007645	SSU_5:SSU_3:SSU_4:SSU_1:SSU_2	1:1:1:1:1	Staphylococcus epidermidis ATCC 12228	Staphylococcus epidermidis	ATCC 12228
GCA_000007665	SSU_1	1	Leifsonia xyli subsp. xyli str. CTCB07	Leifsonia xyli	CTCB07
GCA_000007685	SSU_1:SSU_2	1:1	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	Leptospira interrogans	Fiocruz L1-130
GCA_000007705	SSU_1	8	Chromobacterium violaceum ATCC 12472	Chromobacterium violaceum	ATCC 12472
GCA_000007725	SSU_1	1	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Buchnera aphidicola	Bp (Baizongia pistaciae)
GCA_000007745	SSU_5:SSU_6:SSU_3:SSU_4:SSU_1:SSU_2	1:1:1:1:1:1	[Mannheimia] succiniciproducens MBEL55E	[Mannheimia] succiniciproducens	MBEL55E
GCA_000007765	SSU_1	1	Coxiella burnetii RSA 493	Coxiella burnetii	RSA 493
GCA_000007785	SSU_1:SSU_2	3:1	Enterococcus faecalis V583	Enterococcus faecalis	V583
GCA_000007805	SSU_1	5	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas syringae	DC3000
GCA_000007825	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	6:1:1:1:1:1:1:1	Bacillus cereus ATCC 14579	Bacillus cereus	ATCC 14579
GCA_000007845	SSU_1:SSU_5:SSU_8:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	4:1:1:1:1:1:1:1	Bacillus anthracis str. Ames	Bacillus anthracis	Ames
GCA_000007865	SSU_1	1	Mycobacterium avium subsp. paratuberculosis K-10	Mycobacterium avium	K-10
GCA_000007885	SSU_2:SSU_1:SSU_3	5:1:1	Yersinia pestis biovar Microtus str. 91001	Yersinia pestis	91001
GCA_000007905	SSU_1	1	Helicobacter hepaticus ATCC 51449	Helicobacter hepaticus	ATCC 51449
GCA_000007925	SSU_1	1	Prochlorococcus marinus subsp. marinus str. CCMP1375	Prochlorococcus marinus	CCMP1375; SS120
GCA_000007945	SSU_1	6	[Haemophilus] ducreyi 35000HP	[Haemophilus] ducreyi	35000HP
GCA_000007985	SSU_1	2	Geobacter sulfurreducens PCA	Geobacter sulfurreducens	PCA
GCA_000008005	SSU_2:SSU_3:SSU_5:SSU_8:SSU_1:SSU_6:SSU_7:SSU_4	4:2:1:1:1:1:1:1	Bacillus cereus ATCC 10987	Bacillus cereus	ATCC 10987
GCA_000008025	SSU_1	1	Wolbachia endosymbiont of Drosophila melanogaster	Wolbachia endosymbiont	wMel
GCA_000008045	SSU_1	1	Rickettsia typhi str. Wilmington	Rickettsia typhi	Wilmington
GCA_000008065	SSU_1	6	Lactobacillus johnsonii NCC 533	Lactobacillus johnsonii	NCC 533
GCA_000008085	SSU_1	1	Nanoarchaeum equitans Kin4-M	Nanoarchaeum equitans	Kin4-M
GCA_000008105	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	Salmonella enterica	SC-B67
GCA_000008125	SSU_1	2	Thermus thermophilus HB27	Thermus thermophilus	HB27
GCA_000008145	SSU_1	3	Brucella abortus bv. 1 str. 9-941	Brucella abortus	9-941
GCA_000008165	SSU_1:SSU_5:SSU_8:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	4:1:1:1:1:1:1:1	Bacillus anthracis str. Sterne	Bacillus anthracis	Sterne
GCA_000008185	SSU_1:SSU_2	1:1	Treponema denticola ATCC 35405	Treponema denticola	ATCC 35405
GCA_000008205	SSU_1	1	Mycoplasma hyopneumoniae J	Mycoplasma hyopneumoniae	J
GCA_000008225	SSU_1	1	Mycoplasma hyopneumoniae 7448	Mycoplasma hyopneumoniae	7448
GCA_000008245	SSU_1:SSU_2	1:1	Mycoplasma synoviae 53	Mycoplasma synoviae	53
GCA_000008265	SSU_1	1	Picrophilus torridus DSM 9790	Picrophilus torridus	DSM 9790
GCA_000008285	SSU_1:SSU_2:SSU_3	2:2:2	Listeria monocytogenes serotype 4b str. F2365	Listeria monocytogenes	4b F2365
GCA_000008325	SSU_1	2	Methylococcus capsulatus str. Bath	Methylococcus capsulatus	Bath
GCA_000008345	SSU_1:SSU_2	2:1	Cutibacterium acnes KPA171202	Cutibacterium acnes	KPA171202
GCA_000008365	SSU_1	1	Mycoplasma mobile 163K	Mycoplasma mobile	163K
GCA_000008385	SSU_1	1	Wolbachia endosymbiont strain TRS of Brugia malayi	Wolbachia endosymbiont	TRS
GCA_000008405	SSU_1	1	Mycoplasma hyopneumoniae 232	Mycoplasma hyopneumoniae	232
GCA_000008425	SSU_3:SSU_5:SSU_1:SSU_2:SSU_6:SSU_4	2:1:1:1:1:1	Bacillus licheniformis DSM 13 = ATCC 14580	Bacillus licheniformis	DSM 13
GCA_000008445	SSU_1:SSU_5:SSU_8:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	4:1:1:1:1:1:1:1	Bacillus anthracis str. 'Ames Ancestor'	Bacillus anthracis	Ames Ancestor; A2084
GCA_000008465	SSU_2:SSU_1:SSU_3	2:1:1	Idiomarina loihiensis L2TR	Idiomarina loihiensis	L2TR
GCA_000008485	SSU_1:SSU_2	2:1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	Legionella pneumophila	Philadelphia 1
GCA_000008505	SSU_6:SSU_4:SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_7:SSU_3	4:2:1:1:1:1:1:1:1	[Bacillus thuringiensis] serovar konkukian str. 97-27	[Bacillus thuringiensis]	97-27
GCA_000008525	SSU_1:SSU_2	1:1	Helicobacter pylori 26695	Helicobacter pylori	26695
GCA_000008545	SSU_1	1	Thermotoga maritima MSB8	Thermotoga maritima	MSB8
GCA_000008565	SSU_2:SSU_1	2:1	Deinococcus radiodurans R1	Deinococcus radiodurans	R1
GCA_000008585	SSU_1	1	Mycobacterium tuberculosis CDC1551	Mycobacterium tuberculosis	CDC1551
GCA_000008605	SSU_1:SSU_2	1:1	Treponema pallidum subsp. pallidum str. Nichols	Treponema pallidum	Nichols
GCA_000008625	SSU_1	2	Aquifex aeolicus VF5	Aquifex aeolicus	VF5
GCA_000008645	SSU_1:SSU_2	1:1	Methanothermobacter thermautotrophicus str. Delta H	Methanothermobacter thermautotrophicus	Delta H
GCA_000008665	SSU_1	1	Archaeoglobus fulgidus DSM 4304	Archaeoglobus fulgidus	DSM 4304
GCA_000008685	SSU_1	1	Borreliella burgdorferi B31	Borreliella burgdorferi	B31
GCA_000008725	SSU_1	2	Chlamydia trachomatis D/UW-3/CX	Chlamydia trachomatis	D/UW-3/CX
GCA_000008745	SSU_1	1	Chlamydia pneumoniae CWL029	Chlamydia pneumoniae	CWL029
GCA_000008765	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	6:1:1:1:1:1	Clostridium acetobutylicum ATCC 824	Clostridium acetobutylicum	ATCC 824
GCA_000008785	SSU_1:SSU_2	1:1	Helicobacter pylori J99	Helicobacter pylori	J99
GCA_000008805	SSU_1	4	Neisseria meningitidis MC58	Neisseria meningitidis	MC58
GCA_000008865	SSU_3:SSU_1:SSU_2:SSU_4	3:2:1:1	Escherichia coli O157:H7 str. Sakai	Escherichia coli	Sakai substr. RIMD 0509952
GCA_000008885	SSU_1:SSU_2	1:1	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Wigglesworthia glossinidia	NA
GCA_000008925	SSU_3:SSU_1:SSU_2:SSU_4	4:1:1:1	Lactobacillus salivarius UCC118	Lactobacillus salivarius	UCC118
GCA_000008945	SSU_2:SSU_1:SSU_3	2:1:1	Bifidobacterium longum DJO10A	Bifidobacterium longum	DJO10A
GCA_000008985	SSU_1	3	Francisella tularensis subsp. tularensis SCHU S4	Francisella tularensis	SCHU S4
GCA_000009005	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Staphylococcus aureus RF122	Staphylococcus aureus	RF122
GCA_000009025	SSU_1	1	Dehalococcoides mccartyi CBDB1	Dehalococcoides mccartyi	CBDB1
GCA_000009045	SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1:1	Bacillus subtilis subsp. subtilis str. 168	Bacillus subtilis	168
GCA_000009065	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Yersinia pestis CO92	Yersinia pestis	CO92
GCA_000009085	SSU_1	3	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Campylobacter jejuni	NCTC 11168
GCA_000009105	SSU_1	4	Neisseria meningitidis Z2491	Neisseria meningitidis	Z2491
GCA_000009125	SSU_7:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1:1	Ralstonia solanacearum GMI1000	Ralstonia solanacearum	GMI1000
GCA_000009145	SSU_1:SSU_2	1:1	Nitrosomonas europaea ATCC 19718	Nitrosomonas europaea	ATCC 19718
GCA_000009165	SSU_1	2	Xanthomonas campestris pv. vesicatoria str. 85-10	Xanthomonas campestris	31321
GCA_000009185	SSU_1:SSU_2	1:1	Haloquadratum walsbyi DSM 16790	Haloquadratum walsbyi	DSM 16790 = HBSQ001
GCA_000009205	SSU_1:SSU_3:SSU_2:SSU_5:SSU_4	4:3:2:1:1	Clostridioides difficile 630	Clostridioides difficile	630
GCA_000009225	SSU_2:SSU_1:SSU_3	3:1:1	Pseudomonas fluorescens SBW25	Pseudomonas fluorescens	SBW25
GCA_000009245	SSU_1	3	Francisella tularensis subsp. holarctica LVS	Francisella tularensis	LVS
GCA_000009265	SSU_1	3	Rhizobium leguminosarum bv. viciae 3841	Rhizobium leguminosarum	3841
GCA_000009285	SSU_3:SSU_1:SSU_2:SSU_4	2:1:1:1	Cupriavidus necator H16	Cupriavidus necator	H16
GCA_000009305	SSU_1	2	Helicobacter acinonychis str. Sheeba	Helicobacter acinonychis	Sheeba
GCA_000009325	SSU_1:SSU_2	2:1	Francisella tularensis subsp. tularensis FSC198	Francisella tularensis	FSC 198
GCA_000009345	SSU_3:SSU_1:SSU_2	5:1:1	Yersinia enterocolitica subsp. enterocolitica 8081	Yersinia enterocolitica	8081
GCA_000009365	SSU_2:SSU_1	2:1	Alcanivorax borkumensis SK2	Alcanivorax borkumensis	SK2
GCA_000009385	SSU_1:SSU_2	5:1	Streptococcus pyogenes str. Manfredo	Streptococcus pyogenes	Manfredo
GCA_000009405	SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1	Staphylococcus carnosus subsp. carnosus TM300	Staphylococcus carnosus	TM300
GCA_000009425	SSU_1	1	Lactococcus lactis subsp. cremoris MG1363	Lactococcus lactis	MG1363
GCA_000009445	SSU_1	1	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	Mycobacterium tuberculosis	BCG Pasteur 1173P2
GCA_000009465	SSU_1:SSU_2	3:1	Neisseria meningitidis FAM18	Neisseria meningitidis	FAM18
GCA_000009485	SSU_2:SSU_1:SSU_3	3:2:1	Burkholderia cenocepacia J2315	Burkholderia cenocepacia	J2315
GCA_000009505	SSU_1:SSU_2:SSU_3:SSU_4	4:1:1:1	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Salmonella enterica	P125109
GCA_000009545	SSU_2:SSU_1	4:1	Streptococcus uberis 0140J	Streptococcus uberis	0140J
GCA_000009565	SSU_3:SSU_1:SSU_2:SSU_4	3:2:1:1	Escherichia coli BL21(DE3)	Escherichia coli	BL21(DE3)
GCA_000009605	SSU_1	1	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera aphidicola	APS
GCA_000009625	SSU_1	2	Mesorhizobium japonicum MAFF 303099	Mesorhizobium japonicum	MAFF 303099
GCA_000009645	SSU_2:SSU_1:SSU_3:SSU_4	2:1:1:1	Staphylococcus aureus subsp. aureus N315	Staphylococcus aureus	N315
GCA_000009665	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Staphylococcus aureus subsp. aureus Mu50	Staphylococcus aureus	Mu50
GCA_000009685	SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1:1	Clostridium perfringens str. 13	Clostridium perfringens	13
GCA_000009705	SSU_1:SSU_2	3:1	Nostoc sp. PCC 7120	Nostoc sp.	PCC 7120
GCA_000009725	SSU_1	2	Synechocystis sp. PCC 6803	Synechocystis sp.	PCC 6803
GCA_000009745	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	5:1:1:1:1	Vibrio vulnificus YJ016	Vibrio vulnificus	YJ016
GCA_000009765	SSU_1	6	Streptomyces avermitilis MA-4680 = NBRC 14893	Streptomyces avermitilis	MA-4680
GCA_000009785	SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1	Geobacillus kaustophilus HTA426	Geobacillus kaustophilus	HTA426
GCA_000009805	SSU_1:SSU_2	2:1	Nocardia farcinica IFM 10152	Nocardia farcinica	IFM 10152
GCA_000009825	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Bacillus clausii KSM-K16	Bacillus clausii	KSM-K16
GCA_000009845	SSU_1:SSU_2	1:1	Onion yellows phytoplasma OY-M	Onion yellows	onion yellows
GCA_000009865	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Staphylococcus haemolyticus JCSC1435	Staphylococcus haemolyticus	JCSC1435
GCA_000009885	SSU_3:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_4	2:1:1:1:1:1:1	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Klebsiella pneumoniae	NTUH-K2044
GCA_000009905	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Symbiobacterium thermophilum IAM 14863	Symbiobacterium thermophilum	IAM14863
GCA_000009925	SSU_2:SSU_5:SSU_1:SSU_3:SSU_4	2:1:1:1:1	Bacteroides fragilis YCH46	Bacteroides fragilis	YCH46
GCA_000009945	SSU_1	1	Chlamydia felis Fe/C-56	Chlamydia felis	Fe/C-56
GCA_000009965	SSU_1	1	Thermococcus kodakarensis KOD1	Thermococcus kodakarensis	KOD1
GCA_000009985	SSU_1	2	Magnetospirillum magneticum AMB-1	Magnetospirillum magneticum	AMB-1
GCA_000010005	SSU_1	6	Lactobacillus reuteri JCM 1112	Lactobacillus reuteri	JCM 1112
GCA_000010025	SSU_1:SSU_2	1:1	Xanthomonas oryzae pv. oryzae MAFF 311018	Xanthomonas oryzae	MAFF 311018
GCA_000010045	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Desulfitobacterium hafniense Y51	Desulfitobacterium hafniense	Y51
GCA_000010065	SSU_1	2	Synechococcus elongatus PCC 6301	Synechococcus elongatus	PCC 6301
GCA_000010085	SSU_3:SSU_1:SSU_2	5:1:1	Sodalis glossinidius str. 'morsitans'	Sodalis glossinidius	morsitans
GCA_000010105	SSU_1	5	Rhodococcus erythropolis PR4	Rhodococcus erythropolis	PR4 (= NBRC 100887)
GCA_000010125	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	2:1:1:1:1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292	Staphylococcus saprophyticus	ATCC 15305
GCA_000010145	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Lactobacillus fermentum IFO 3956	Lactobacillus fermentum	IFO 3956
GCA_000010165	SSU_10:SSU_6:SSU_5:SSU_9:SSU_8:SSU_13:SSU_1:SSU_2:SSU_11:SSU_7:SSU_3:SSU_12:SSU_4	2:2:1:1:1:1:1:1:1:1:1:1:1	Brevibacillus brevis NBRC 100599	Brevibacillus brevis	NBRC 100599 (= 47)
GCA_000010185	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Finegoldia magna ATCC 29328	Finegoldia magna	ATCC 29328
GCA_000010205	SSU_1	1	Orientia tsutsugamushi str. Ikeda	Orientia tsutsugamushi	Ikeda
GCA_000010225	SSU_3:SSU_4:SSU_1:SSU_2	2:2:1:1	Corynebacterium glutamicum R	Corynebacterium glutamicum	R
GCA_000010245	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli str. K-12 substr. W3110	Escherichia coli	K-12 substr. W3110
GCA_000010265	SSU_1:SSU_4:SSU_5:SSU_2:SSU_3	2:2:1:1:1	Clostridium kluyveri NBRC 12016	Clostridium kluyveri	NBRC 12016
GCA_000010285	SSU_1	3	Kocuria rhizophila DC2201	Kocuria rhizophila	DC2201 (= NBRC 103217)
GCA_000010305	SSU_1	1	Gemmatimonas aurantiaca T-27	Gemmatimonas aurantiaca	T-27
GCA_000010325	SSU_2:SSU_1	2:1	Nitratiruptor sp. SB155-2	Nitratiruptor sp.	SB155-2
GCA_000010345	SSU_1	3	Sulfurovum sp. NBC37-1	Sulfurovum sp.	NBC37-1
GCA_000010365	SSU_1	1	Candidatus Carsonella ruddii PV	Candidatus Carsonella	PV
GCA_000010385	SSU_2:SSU_5:SSU_1:SSU_3:SSU_4	3:1:1:1:1	Escherichia coli SE11	Escherichia coli	SE11
GCA_000010405	SSU_1	1	Candidatus Vesicomyosocius okutanii HA	Candidatus Vesicomyosocius	HA
GCA_000010425	SSU_3:SSU_1:SSU_2	3:1:1	Bifidobacterium adolescentis ATCC 15703	Bifidobacterium adolescentis	ATCC 15703
GCA_000010445	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Staphylococcus aureus subsp. aureus Mu3	Staphylococcus aureus	Mu3
GCA_000010465	SSU_1:SSU_2:SSU_3	3:1:1	Staphylococcus aureus subsp. aureus str. Newman	Staphylococcus aureus	Newman
GCA_000010485	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli SE15	Escherichia coli	SE15
GCA_000010505	SSU_1	4	Porphyromonas gingivalis ATCC 33277	Porphyromonas gingivalis	ATCC 33277
GCA_000010525	SSU_1	3	Azorhizobium caulinodans ORS 571	Azorhizobium caulinodans	ORS 571
GCA_000010545	SSU_1:SSU_2	3:2	Burkholderia multivorans ATCC 17616	Burkholderia multivorans	ATCC 17616
GCA_000010565	SSU_1:SSU_2	1:1	Pelotomaculum thermopropionicum SI	Pelotomaculum thermopropionicum	SI
GCA_000010585	SSU_2:SSU_1	3:1	Macrococcus caseolyticus JCSC5402	Macrococcus caseolyticus	JCSC5402
GCA_000010605	SSU_1	6	Streptomyces griseus subsp. griseus NBRC 13350	Streptomyces griseus	NBRC 13350
GCA_000010625	SSU_1:SSU_2	1:1	Microcystis aeruginosa NIES-843	Microcystis aeruginosa	NIES-843
GCA_000010645	SSU_1	2	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	Candidatus Azobacteroides	CFP2
GCA_000010665	SSU_1	3	Desulfovibrio magneticus RS-1	Desulfovibrio magneticus	RS-1
GCA_000010685	SSU_1	1	Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172	Mycobacterium tuberculosis	Tokyo 172
GCA_000010705	SSU_3:SSU_1:SSU_2:SSU_4	2:1:1:1	Streptococcus dysgalactiae subsp. equisimilis GGS_124	Streptococcus dysgalactiae	GGS_124
GCA_000010725	SSU_1:SSU_2:SSU_3:SSU_4	5:2:1:1	Azospirillum sp. B510	Azospirillum sp.	B510
GCA_000010745	SSU_2:SSU_1:SSU_3:SSU_4	3:2:1:1	Escherichia coli O103:H2 str. 12009	Escherichia coli	12009
GCA_000010765	SSU_6:SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1:1:1	Escherichia coli O111:H- str. 11128	Escherichia coli	11128
GCA_000010785	SSU_1	1	Hydrogenobacter thermophilus TK-6	Hydrogenobacter thermophilus	TK-6
GCA_000010805	SSU_2:SSU_1	3:1	Rhodococcus opacus B4	Rhodococcus opacus	B4
GCA_000010825	SSU_2:SSU_1	4:1	Acetobacter pasteurianus IFO 3283-01	Acetobacter pasteurianus	IFO 3283 substr. IFO 3283-01
GCA_000010845	SSU_1	5	Acetobacter pasteurianus IFO 3283-03	Acetobacter pasteurianus	IFO 3283 substr. IFO 3283-03
GCA_000010865	SSU_1:SSU_2	4:1	Acetobacter pasteurianus IFO 3283-07	Acetobacter pasteurianus	IFO 3283 substr. IFO 3283-07
GCA_000010885	SSU_1	5	Acetobacter pasteurianus IFO 3283-22	Acetobacter pasteurianus	IFO 3283 substr. IFO 3283-22
GCA_000010905	SSU_1	5	Acetobacter pasteurianus IFO 3283-26	Acetobacter pasteurianus	IFO 3283 substr. IFO 3283-26
GCA_000010925	SSU_1	5	Acetobacter pasteurianus IFO 3283-32	Acetobacter pasteurianus	IFO 3283 substr. IFO 3283-32
GCA_000010945	SSU_2:SSU_1	3:1	Acetobacter pasteurianus IFO 3283-01-42C	Acetobacter pasteurianus	IFO 3283 substr. IFO 3283-01-42C
GCA_000010965	SSU_1	5	Acetobacter pasteurianus IFO 3283-12	Acetobacter pasteurianus	IFO 3283 substr. IFO 3283-12
